model,test_rows,test_cols,diameter,mse_median,mse_lo,mse_hi,n_params
gabp,6,6,10,2.73186900487288e-05,7.6553739186565e-06,0.0002908708515701704,65
gnn,6,6,10,0.005817837388338933,0.0033763201842926423,0.021537708330562927,22337
transformer,6,6,10,0.02469149634883972,0.0162931595508255,0.024735635946140682,18305
baseline,6,6,10,0.02464377401255165,0.0245674317729048,0.02687997359990441,
gabp,8,8,14,1.510751125764361e-05,3.729708985324465e-06,0.00015432723933028,65
gnn,8,8,14,0.05762016746870221,0.037873233603744026,0.0773786512489545,22337
transformer,8,8,14,0.07539729299323146,0.07405378424222575,0.07580510630020783,18305
baseline,8,8,14,0.08069468649867632,0.07856128968942923,0.08120641066548441,
gabp,10,10,18,1.2086356356878062e-05,2.5624978009574857e-06,9.87577544759775e-05,65
gnn,10,10,18,0.1142007317984262,0.08079842403098074,0.13815346686304542,22337
transformer,10,10,18,0.13587528593021073,0.13433945007661005,0.13799697508538927,18305
baseline,10,10,18,0.14367851817034033,0.14228974545859188,0.1436814048111219,
