problem,precision,note,size,b,seed,diag_load,kappa,dyn_range,selinv_normwise,selinv_componentwise,selinv_worst_block,dense_chol_normwise,dense_chol_componentwise,dense_inv_normwise,dense_inv_componentwise,advantage_chol,advantage_inv
grid,fp32,native,8,2,0,1.0,19.173232906509345,0.21747255227447096,1.619458360849002e-07,0.00034388675700324715,1.243227404203972e-06,1.6436532542623078e-07,0.001179298906424133,1.0660468727143091e-07,0.0005484358866812155,1.014940114545842,0.6582737157597762
grid,fp32,native,8,2,1,1.0,20.26501142423441,0.15868203620830984,1.7671996287556555e-07,0.00021556320831313039,1.897003974270586e-06,1.4084268039312992e-07,0.0001315858174419206,1.1405650209344607e-07,0.000233169933805551,0.7969822882562622,0.6454081374709041
grid,fp32,native,8,2,2,1.0,16.97989447908773,0.23280258766427356,1.788182846209598e-07,0.00027783576724391444,1.00663867136519e-06,1.4290515728548301e-07,0.0001437718502393749,9.367013220391763e-08,4.2075436451636204e-05,0.7991641212105257,0.5238286028885119
grid,fp32,native,8,2,3,1.0,16.610223855095946,0.13993946392752904,1.5626545639443134e-07,7.481763995527477e-05,1.328870683093929e-06,1.5076765866896602e-07,2.8876816071646917e-05,1.0334326982877887e-07,0.0001477776590690311,0.9648175748350405,0.661331507380166
grid,fp32,native,8,2,0,0.01,1818.3232906514518,0.5398248018807535,2.58498844677782e-06,0.004159739938012581,4.278070373301099e-06,2.627397776279256e-06,0.0063538918596899715,1.7597873602768489e-06,0.004292280215694104,1.0164060034985067,0.6807718473443928
grid,fp32,native,8,2,1,0.01,1927.5011424236498,0.5513202496950578,2.671153854282368e-06,0.002126694384133893,4.952216714250904e-06,5.0426159215696155e-06,0.0020030880005565007,3.6778946359874144e-06,0.0013547795912111898,1.8878043709407988,1.3768935960356794
grid,fp32,native,8,2,2,0.01,1598.9894479083723,0.6862407603840737,3.579182559102198e-06,0.035004719897467326,5.521256185343353e-06,4.25943462201529e-06,0.00828420973272815,2.62241821314912e-06,0.010181391814174549,1.1900579396776358,0.7326863522175096
grid,fp32,native,8,2,3,0.01,1562.0223855096106,0.41589155785527,9.51507532407724e-06,0.15827253351287904,1.424095625104758e-05,2.064561612257585e-06,0.01068216617849857,2.2137520161930277e-06,0.06615617490240332,0.21697795781325604,0.23265732963682184
grid,fp32,native,8,2,0,0.0001,181733.32906573266,0.9830774488030823,0.0005871695101682311,8.04376550927487,0.0005904104395744599,0.0001824879117632619,91.36673724575482,6.26406633743815e-05,7.701668950597838,0.3107925541143594,0.10668241843217337
grid,fp32,native,8,2,1,0.0001,192651.11424472582,0.986052761400603,0.0010271211470347828,426.40267180418283,0.0010321432913403764,0.0007361100211172955,168.9999529498943,0.0005270239523260901,293.4324840711937,0.716673026587357,0.5131078781189214
grid,fp32,native,8,2,2,0.0001,159799.94478918877,0.9914746718404348,0.000991316556206653,583.0484794213934,0.0009976883674215123,0.0002860079462105532,179.674452132334,0.0002535213654732439,114.15361159737517,0.2885132346674245,0.2557420875157804
grid,fp32,native,8,2,3,0.0001,156103.23855253938,0.9757576144569969,0.0007023937966037003,128.47898488102484,0.0007065291183875423,0.00026788689529212614,62.439386850879025,0.0001837689412435934,49.98455431494198,0.3813913172175571,0.26163235229606996
