problem,precision,note,size,b,seed,diag_load,kappa,dyn_range,selinv_normwise,selinv_componentwise,selinv_worst_block,dense_chol_normwise,dense_chol_componentwise,dense_inv_normwise,dense_inv_componentwise,advantage_chol,advantage_inv
tree,fp32,native,127,2,0,1.0,68.5618240813556,0.21945740562251573,1.6767605977552386e-07,3.070180317804071e-05,7.867837522714184e-07,1.7528888018834962e-07,7.689209523160984e-05,1.484421375154494e-07,7.468859233849237e-05,1.0454019519722577,0.8852911841689037
tree,fp32,native,127,2,1,1.0,52.23242849863098,0.25235698962930064,1.4997710156114658e-07,1.4592960035685513e-05,8.060436012086113e-07,1.6314429722281436e-07,2.1317713302928394e-05,1.238957819031285e-07,2.884191702297378e-05,1.0877947068226241,0.8260979883826828
tree,fp32,native,127,2,2,1.0,87.13881816744193,0.24469358724102477,1.4495503926566196e-07,0.00023357977974804798,5.349498808917774e-07,2.2959095063142668e-07,0.0003691691886446124,1.6426480962186164e-07,0.00029156781224161127,1.5838769855434334,1.1332121356664966
tree,fp32,native,127,2,3,1.0,49.40308326760073,0.2270182011906427,1.7607640315205396e-07,2.0871614903354323e-05,8.757750127179259e-07,2.734105273524437e-07,1.4559531848392494e-05,2.3972519594190676e-07,1.618840281553213e-05,1.5527948234854339,1.361483944756003
tree,fp32,native,127,2,0,0.01,6554.312534072442,0.6948470050981976,7.826364717063898e-06,0.0007105544601816751,1.5944259098386086e-05,1.1306281860669538e-05,0.00800309288379587,7.761115445313957e-06,0.004508834797797244,1.444640298454063,0.9916628889517917
tree,fp32,native,127,2,1,0.01,5105.1697323157805,0.3521100912538541,3.377184281474974e-06,0.0006230955103578951,6.241615777599336e-06,9.563719352033107e-06,0.004419372234584173,5.930275258908685e-06,0.0009612853901924833,2.8318618573743284,1.7559821332339782
tree,fp32,native,127,2,2,0.01,8338.06062881988,0.5325666925910493,4.378439260384497e-06,0.007703845188481195,8.867360497672609e-06,1.0789067384549417e-05,0.011575950645376672,1.2901798554961566e-05,0.007276420088727311,2.464135447114085,2.9466661035349344
tree,fp32,native,127,2,3,0.01,4834.012256067942,0.2744153269059356,1.6199338266740738e-05,0.0007352321861036296,2.792254642696443e-05,1.4708599097197275e-05,0.0009242229403238942,1.6838327237018326e-05,0.0006184102875990525,0.9079753046083286,1.0394453748514847
tree,fp32,native,127,2,0,0.0001,163722.09912287293,0.7998475899033817,0.00012598309412067954,0.006716577050155593,0.00015844205142405928,0.00018633517870687017,0.008274323510420213,0.00014655180144193845,0.004945328479550806,1.479049074063693,1.163265614841592
tree,fp32,native,127,2,1,0.0001,371947.4900946622,0.552633341286385,0.000696208509697258,0.10663774544618225,0.0007600996099650011,0.0006850015438472827,0.0994978887164653,0.0007362994300816923,0.12717895534159004,0.9839028599997313,1.057584645729004
tree,fp32,native,127,2,2,0.0001,197858.7632519637,0.8765353128318673,4.756975535798125e-05,0.010579457068701274,9.533347926539315e-05,0.00022331682383912484,0.00853878482883081,0.00014491241619784292,0.008348777354527912,4.694512766748058,3.0463140940566036
tree,fp32,native,127,2,3,0.0001,419994.26385558274,0.1705102562151769,0.0008316688859480745,0.03979984755671256,0.0008339217357027752,0.001505084128378657,0.017623151726563396,0.0006018753578941393,0.05955603164334055,1.8097155656639863,0.7236958939590745
