depth,n,height,b,seed,diag_load,kappa,storage,backward_norm,backward_over_u,forward_norm,forward_over_kappa_u
3,15,3,2,0,1.0,18.069219833727736,fp32,6.152121273368525e-08,0.5160773373074939,9.558193054857259e-08,0.04437376680528142
3,15,3,2,1,1.0,85.85886708837953,fp32,2.7898275046050304e-08,0.23402769323749795,2.3838153323922839e-07,0.023290421881812868
3,15,3,2,0,0.01,408.4366206731728,fp32,5.471442601543961e-08,0.45897787178852484,4.900741082255814e-06,0.10065306039596272
3,15,3,2,1,0.01,5469.069103937112,fp32,5.418484997337423e-08,0.45453546596544686,1.1617708193221569e-05,0.01781955905826211
3,15,3,2,0,0.0001,529.2443537736997,fp32,8.420829771834191e-08,0.7063903999064647,5.3531840632625516e-06,0.08484882708405438
3,15,3,2,1,0.0001,14956.28629910378,fp32,2.824315142508888e-08,0.23692072598971198,3.110435438106608e-05,0.017445656680928952
4,31,4,2,0,1.0,55.055134988153,fp32,5.186329181563846e-08,0.4350608246309993,1.4104270743825413e-07,0.021490311198270495
4,31,4,2,1,1.0,70.33482745681225,fp32,3.20914092802956e-08,0.2692022526199619,3.020166813457766e-07,0.036020555404451364
4,31,4,2,0,0.01,4326.768096878524,fp32,3.5046109916014496e-08,0.29398807801035853,5.491481337223025e-06,0.01064671903967149
4,31,4,2,1,0.01,4806.600872916388,fp32,2.5942961702437985e-08,0.2176253360807649,6.555991380761351e-06,0.011441690957630379
4,31,4,2,0,0.0001,20624.555095357144,fp32,5.962407664420468e-08,0.5001630063301885,1.5740648484156356e-05,0.006402180759240052
4,31,4,2,1,0.0001,15165.435411237253,fp32,4.8270222271016304e-08,0.40491997270442553,1.9056668196086066e-05,0.010541004260555632
5,63,5,2,0,1.0,44.77859085487217,fp32,4.34972159274732e-08,0.3648810935069291,1.821807907046929e-07,0.034128881886988434
5,63,5,2,1,1.0,63.69153451334565,fp32,5.256448661629194e-08,0.4409428729453195,1.5229274800127067e-07,0.02005799002939325
5,63,5,2,0,0.01,3729.904236219592,fp32,1.0057802385820826e-07,0.8437096155611566,1.5387001779795285e-05,0.034605587181731026
5,63,5,2,1,0.01,6194.67676240674,fp32,4.261701013832313e-08,0.3574973921824185,7.0261264946216215e-06,0.009514527259836541
5,63,5,2,0,0.0001,23566.51069132799,fp32,5.358873086309938e-08,0.44953485642804236,0.00017058910999741552,0.06072197923487169
5,63,5,2,1,0.0001,281028.78689116496,fp32,6.350936365145423e-08,0.5327551560014981,0.0002391275506004701,0.007137871198811952
6,127,6,2,0,1.0,54.5767933961861,fp32,4.204292424816123e-08,0.35268161069151927,1.8709305286126908e-07,0.028756733078534807
6,127,6,2,1,1.0,83.94068052253499,fp32,3.944785037368926e-08,0.3309125532275327,1.5758019856759367e-07,0.015747769807403802
6,127,6,2,0,0.01,5034.178548934782,fp32,7.87882619419051e-08,0.6609238444319606,7.642189717061555e-06,0.01273441797403575
6,127,6,2,1,0.01,8235.64203988164,fp32,2.679319985498506e-08,0.2247576506491265,1.1004022158870233e-05,0.011208407051577333
6,127,6,2,0,0.0001,71325.39969932946,fp32,6.562693038081854e-08,0.5505185932079775,4.8799730144974685e-05,0.005739355242559184
6,127,6,2,1,0.0001,479738.78189246135,fp32,1.0683524540668779e-07,0.8961989943005044,0.0007644628583329508,0.013367231274940269
